stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
25,0.5,9.0,86.00410610000836,,85.9888189000194,86.00410610000836,86.50392370001646,86.50392370001646,86.50392370001646,86.80343910001102,87.15529290001723,right,9.0,1,1,0.6411383000086062,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
26,0.5,9.0,87.17033750002156,,87.15543430001708,87.17033750002156,87.6702268999943,87.6702268999943,87.6702268999943,87.96994450001512,88.38774229999399,right,9.0,1,1,0.7011931000160985,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
27,0.5,8.5,88.4031740000064,,88.3878745000111,88.4031740000064,88.90311109999311,88.90311109999311,88.90311109999311,89.20283660001587,90.00421710000955,left,-8.5,1,1,1.0858371000213083,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
28,0.5,8.5,90.01944910001475,,90.00435550001566,90.01944910001475,90.5194420000189,90.5194420000189,90.5194420000189,90.81890360001125,91.25365060000331,left,-8.5,1,1,0.722851799975615,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
29,0.5,8.5,91.26957649999531,,91.25380330000189,91.26957649999531,91.76952590001747,91.76952590001747,91.76952590001747,92.06860300002154,92.63704750000034,right,8.5,1,1,0.8652771000051871,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
30,0.5,8.0,92.65173440001672,,92.6371798000182,92.65173440001672,93.1505244,93.1505244,93.1505244,93.45163570001023,93.86925030002021,right,8.0,1,1,0.7078766999766231,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
31,0.5,8.0,93.88473620000877,,93.86938700001338,93.88473620000877,94.38516440000967,94.38516440000967,94.38516440000967,94.68400040001143,94.9175358999928,left,-8.0,1,1,0.5267834000114817,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
32,0.5,8.0,94.93366120001883,,94.91761830000905,94.93366120001883,95.41714570001932,95.41714570001932,95.434880899993,95.71717310001259,96.06706530001247,right,8.0,1,1,0.6425044999923557,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
33,0.5,7.5,96.08275380000123,,96.06715479999548,96.08275380000123,96.56664880001335,96.56664880001335,96.58343090000562,96.86837380001089,98.467799200007,right,7.5,1,1,1.8985506000171881,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
34,0.5,7.5,98.48566150001716,,98.46788270000252,98.48566150001716,98.96732100000372,98.96732100000372,98.99911649999558,99.28299989999505,99.6844553000119,right,7.5,1,1,0.7068052999966312,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
35,0.5,7.5,99.69982609999715,,99.68458840000676,99.69982609999715,100.19873299999745,100.19873299999745,100.19873299999745,100.49963000000571,100.68458160001319,left,-7.5,1,1,0.4840298999915831,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
36,0.5,7.0,100.69928659999277,,100.68472560000373,100.69928659999277,101.19879700001911,101.19879700001911,101.19879700001911,101.49896670001908,101.90068570000585,right,7.0,1,1,0.6913915000041015,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
37,0.5,7.0,101.91536169999745,,101.9008201000106,101.91536169999745,102.41555740000331,102.41555740000331,102.41555740000331,102.71506720001344,103.10061280001537,right,7.0,1,1,0.6806777000019792,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
38,0.5,7.0,103.11495139999897,,103.10075460001826,103.11495139999897,103.61474039999302,103.61474039999302,103.61474039999302,103.91463929999736,104.31588209999609,right,7.0,1,1,0.6912201999803074,990435,001,2024-09-05_15h31.41.630,adaptive_staircase,2024.1.5,None,2024-09-05 15h31.54.747543 +0530,
