pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,6,3,27,3,,,,,72.2284437000053,,72.2119766001124,72.2284437000053,73.2122335000895,73.2122335000895,73.2122335000895,73.2122335000895,73.22554330003913,74.22508760006167,74.22508760006167,74.49348850001115,z,1,0.2650435999967158,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,7,0,28,0,,,,,74.51106480008457,,74.49489670002367,74.51106480008457,75.49412740010303,75.49412740010303,75.49412740010303,75.49412740010303,75.50825540011283,76.50837900000624,76.50837900000624,76.94237950001843,x,1,0.4178770000580698,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,7,1,29,1,,,,,76.96026310010348,,76.94423480005935,76.96026310010348,77.94337250001263,77.94337250001263,77.94337250001263,77.94337250001263,77.95705950004049,78.95675040001515,78.95675040001515,80.37480630003847,v,1,1.413155399961397,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,7,2,30,2,,,,,80.39196060004178,,80.37652830011211,80.39196060004178,81.37596650002524,81.37596650002524,81.37596650002524,81.37596650002524,81.38965520006604,82.38884430006146,82.38884430006146,83.60775650001597,c,1,1.2104799998924136,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,7,3,31,3,,,,,83.6243444000138,,83.60986570001114,83.6243444000138,84.62187620007899,84.62187620007899,84.62187620007899,84.62187620007899,84.62187620007899,85.62134640000295,85.62134640000295,85.97254350001458,z,1,0.34257249999791384,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,8,0,32,0,,,,,85.99084380001295,,85.97406640008558,85.99084380001295,86.97378410003148,86.97378410003148,86.97378410003148,86.97378410003148,86.98705690004863,87.98724480008241,87.98724480008241,88.57205539999995,x,1,0.5716335000470281,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,8,1,33,1,,,,,88.58994640002493,,88.57394460006617,88.58994640002493,89.5732964000199,89.5732964000199,89.5732964000199,89.5732964000199,89.58668960002251,90.58582660008688,90.58582660008688,91.33828360005282,v,1,0.748014000011608,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,8,2,34,2,,,,,91.35516370006371,,91.33975940011442,91.35516370006371,92.34240290010348,92.34240290010348,92.34240290010348,92.34240290010348,92.3543384000659,93.35196080000605,93.35196080000605,94.90322630002629,c,1,1.5407397999661043,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,8,3,35,3,,,,,94.9213767000474,,94.90457590005826,94.9213767000474,95.90505210007541,95.90505210007541,95.90505210007541,95.90505210007541,95.9180182000855,96.9176089001121,96.9176089001121,98.4513116000453,z,1,1.5275798999937251,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,9,0,36,0,,,,,98.46940990001895,,98.45206200005487,98.46940990001895,99.45297010010108,99.45297010010108,99.45297010010108,99.45297010010108,99.46669110003859,100.46679930004757,100.46679930004757,101.49993110005744,x,1,1.017586899921298,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
